,title,feed_type,link,description,date,image,publisher,stocks,_id
3764,"RIL, ITC, HUL lift Sensex 700 points higher; check what’s moving Dalal Street today",news-article,https://www.financialexpress.com/market/ril-itc-hul-lift-sensex-700-points-higher-check-whats-moving-dalal-street-today/1928883/,"The market capitalisation of all BSE listed scrips jumped to Rs 122 lakh crore as markets gained on Wednesday. With the equity market capitalisation reaching Rs 122 lakh crore, investors wealth gained Rs 3 lakh crore in the morning trade",2020-04-15 11:09:04.000,https://pocket-image-cache.com/direct?url=http://images.financialexpress.com/2020/03/stock-market-660.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/FinancialExpress.png', 'id': 'www.financialexpress.com', 'name': 'Economic Times'}","[{'sid': 'BSEL'}, {'sid': 'HLL'}, {'sid': 'ITC'}]",5e969e1e60ab1b3f7e56d388
3765,ITC Fundamental And Technical Analysis Outlook - Investing.com India,news-article,https://in.investing.com/analysis/itc-fundamental-and-technical-analysis-outlook-200438403,Read ITC Fundamental And Technical Analysis Outlook by Nitin Sharma on Investing.com India,2020-04-14 18:55:00.000,https://pocket-image-cache.com/direct?url=http://i-invdn-com.akamaized.net/redesign/images/seo/v2/investingcom_analysis_og.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HuffingtonPost.png', 'id': 'in.investing.com', 'name': 'Investing.com'}",[{'sid': 'ITC'}],5e9684f660ab1b3f7e56d218
3766,ITC’s Paperboards unit lends support to Telangana govt’s fight against Covid-19,news-article,https://www.thehindubusinessline.com/companies/itcs-paperboards-unit-lends-support-to-telangana-govts-fight-against-covid-19/article31330943.ece,"Provides protective equipment, groceries and free meals to the needy",2020-04-13 16:54:26.000,https://www.thehindubusinessline.com/static/theme/default/base/img/og-image.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'ITC'}],5e94515f33b7637ec8063a8b
3767,Diamonds in the Dust: Why ITC presents a value-buying opportunity,news-article,https://www.moneycontrol.com/news/business/moneycontrol-research/diamonds-in-the-dust-why-itc-presents-a-value-buying-opportunity-5137041.html,,2020-04-13 09:00:20.000,https://pocket-image-cache.com/direct?url=http://static-news.moneycontrol.com/static-mcnews/2018/07/itc-770x433.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/Moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'ITC'}],5e93e05a33b7637ec806367b
3768,"Need financial assistance for private security, facility management, manpower supply: FICCI to FM",news-article,https://economictimes.indiatimes.com/news/economy/policy/need-financial-assistance-for-private-security-facility-management-manpower-supply-ficci-to-fm/articleshow/75110537.cms,"Outsourced business services sector, with about Rs 1 lakh crore per annum business, is among the top three Goods and Services Tax contributors that paid approximately Rs 25,000 crore last year. Besides, the sector claims lowest input credit (ITC) amongst all other major verticals.",2020-04-12 20:58:00.000,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-75110594,width-1070,height-580,imgsize-41364,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}",[{'sid': 'ITC'}],5e9335fe33b7637ec806354b
3769,Top 10 Firms Add Over Rs 4 Lakh Crore In Market Cap; Reliance Industries Sparkles,news-article,https://www.bloombergquint.com/markets/top-10-firms-add-over-rs-4-lakh-crore-in-market-cap-reliance-industries-sparkles,"RIL leads the pack, followed by TCS, HUL, HDFC Bank, HDFC, Infosys, Bharti Airtel, Kotak Mahindra Bank, ITC and ICICI Bank.",2020-04-12 14:12:23.000,https://pocket-image-cache.com/direct?url=http://images.assettype.com/bloombergquint%2F2019-11%2F991b272d-d335-4a1b-8691-9908276f1d38%2FReliance_Industries.jpg?rect=0%2C0%2C3999%2C2099&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://www.smallcase.com/images/newslogos/BloombergQuint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'BRTI'}, {'sid': 'HDBK'}, {'sid': 'HLL'}, {'sid': 'ICBK'}, {'sid': 'INFY'}, {'sid': 'ITC'}, {'sid': 'KTKM'}, {'sid': 'RELI'}, {'sid': 'TCS'}]",5e92d4ac33b7637ec8063496
3770,ITC launches new hand sanitiser under Savlon brand to take on Covid-19,news-article,https://www.business-standard.com/article/companies/itc-launches-new-hand-sanitiser-under-savlon-brand-to-take-on-covid-19-120041001242_1.html,"Product claims to offers quick and persistent action against many enveloped and non-enveloped viruses, in addition to 99.99 per cent bacteria and fungi",2020-04-10 20:05:00.000,https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2020-03/18/full/1584552214-0687.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'id': 'www.business-standard.com', 'name': 'Business Standard'}",[{'sid': 'ITC'}],5e908a5e33b7637ec8063145
3771,ITC launches Savlon Hexa hand sanitising liquid,news-article,https://www.thehindubusinessline.com/companies/itc-launches-savlon-hexa-hand-sanitising-liquid/article31309851.ece,"As part of its strategy to strengthen hygiene product portfolio as the country battles the Covid-19, ITC said would offer anti-viral and anti-bacterial protection with the launch of Savlon Hexa Hand S",2020-04-10 17:21:58.000,https://www.thehindubusinessline.com/static/theme/default/base/img/og-image.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'ITC'}],5e9067c10fea6e017b7ae0eb
3772,ITC working with 17 states for essential supplies,news-article,https://www.financialexpress.com/industry/itc-working-with-17-states-for-essential-supplies/1924015/,"New Delhi-based properties of ITC, Maurya and Sheraton, are providing over 1,500 meals daily for distribution among migrant workers.",2020-04-10 00:23:20.000,https://pocket-image-cache.com/direct?url=http://images.financialexpress.com/2020/04/1-265.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/FinancialExpress.png', 'id': 'www.financialexpress.com', 'name': 'Economic Times'}",[{'sid': 'ITC'}],5e9078ac33b7637ec8063007
3773,"Lockdown: ITC says trying to meet demand with limited workforce, reduced hours at factories",news-article,https://www.financialexpress.com/industry/lockdown-itc-says-trying-to-meet-demand-with-limited-workforce-reduced-hours-at-factories/1923874/,"It is working closely with district administrations across 17 states in the country to provide essential food items like atta, noodles, biscuits and juices and hygiene products like soaps for people in distress.",2020-04-09 17:56:14.000,https://pocket-image-cache.com/direct?url=http://images.financialexpress.com/2020/04/1-250.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/FinancialExpress.png', 'id': 'www.financialexpress.com', 'name': 'Economic Times'}",[{'sid': 'ITC'}],5e9078b433b7637ec806300f
3774,Hospitality firms launch slew of initiatives to help in times of COVID-19 pandemic,news-article,https://economictimes.indiatimes.com/industry/services/hotels-/-restaurants/hospitality-firms-launch-slew-of-initiatives-to-help-in-times-of-covid-19-pandemic/articleshow/75045886.cms,"Leading hospitality firms ITC Hotels, Radisson Hotel Group and Apeejay Surrendra Park Hotels are taking a slew of initiatives to serve healthcare providers and community at large in times of the coronavirus outbreak in the country. ",2020-04-08 18:01:37.825,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-75046107,width-1070,height-580,imgsize-119237,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}",[{'sid': 'ITC'}],5e8dc4290e57f7055d540237
3775,"Kotak Bank, Biocon, Torrent Pharma to benefit from MSCI index rejig",news-article,https://www.thehindubusinessline.com/markets/stock-markets/kotak-bank-biocon-torrent-pharma-to-benefit-on-from-msci-index-rejig/article31277006.ece,"$1.3-billion FPI inflows expected; RIL, HDFC, Infosys, ITC, Bajaj Auto to see reduction in weight",2020-04-07 13:04:00.644,https://www.thehindubusinessline.com/markets/stock-markets/tmq8wc/article31096560.ece/ALTERNATES/LANDSCAPE_615/bsejpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}","[{'sid': 'BAJA'}, {'sid': 'BION'}, {'sid': 'HDFC'}, {'sid': 'INFY'}, {'sid': 'ITC'}, {'sid': 'KTKM'}, {'sid': 'TORP'}]",5e8c2ce89ab61d4c689900d2
3776,"ITC, Britannia, Torrent, Abbott, Sanofi, Lupin better choices now",news-article,https://economictimes.indiatimes.com/markets/stocks/news/itc-britannia-torrent-abbott-sanofi-lupin-better-choices-now/articleshow/75020653.cms,"For traders, there will be plenty of opportunities with low risk-reward ratio due to higher stop-loss.",2020-04-07 10:01:26.325,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-75020643,width-1070,height-580,imgsize-339723,overlay-etmarkets/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}","[{'sid': 'ABOT'}, {'sid': 'BRIT'}, {'sid': 'ITC'}, {'sid': 'LUPN'}, {'sid': 'SANO'}]",5e8c021e547a1509633a756b
3777,"Gainers & Losers: 10 stocks that moved most last week; ITC, RBL Bank, Lupin top charts",news-article,https://www.moneycontrol.com/news/business/markets/gainers-itc-rbl-bank-lupin-top-charts-5107571.html,"Experts suggest that 7,800 would be a crucial level to watch out for. If it breaks, then it could touch 2020's lows.",2020-04-06 10:03:55.901,https://pocket-image-cache.com/direct?url=http://static-news.moneycontrol.com/static-mcnews/2020/01/Sensex_BSE_NSE_Stock-market_bull_bear_Gold-4-770x433.png,"{'logo': 'https://www.smallcase.com/images/newslogos/Moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'ITC'}, {'sid': 'LUPN'}, {'sid': 'RATB'}]",5e8ab133d5ae6a6c47472f8a
3778,Covid-19 crisis: Govt extends validity of e-way bills; gives relief in ITC,news-article,https://www.business-standard.com/article/economy-policy/covid-19-crisis-govt-extends-validity-of-e-way-bills-gives-relief-in-itc-120040500023_1.html,"The Centre has also deferred the application of restricted input tax credit (ITC) of 10% under goods and services tax (GST), providing relief to industry",2020-04-05 10:00:25.771,https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2020-03/06/full/1583512265-9236.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'id': 'www.business-standard.com', 'name': 'Business Standard'}",[{'sid': 'ITC'}],5e895ee18721e84b18b4918d
3779,ITC’s food division curates ‘Boxes of Hope and Happiness’ during Covid-19,news-article,https://www.thehindubusinessline.com/companies/itcs-food-division-curates-boxes-of-hope-and-happiness-during-covid-19/article31256123.ece,"ITC has planned to send food supplies across the country through its Aashirvaad Box of Hope and Sunfeast Box of Happiness amidst the unprecedented lockdown due to novel coronavirus, as per the company",2020-04-04 18:01:12.352,https://www.thehindubusinessline.com/static/theme/default/base/img/og-image.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'ITC'}],5e887e101d1d5635c482e4d4
3780,"Covid-19: Govt extends e-way bill validity, defers restricted ITC under GST",news-article,https://www.business-standard.com/article/economy-policy/covid-19-govt-extends-e-way-bill-validity-defers-restricted-itc-under-gst-120040400182_1.html,"The validity of e-way bills that were set to expire between March 20 and April 15, has been extended till April 30",2020-04-04 13:02:26.607,https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2018-03/31/full/1522440748-6653.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'id': 'www.business-standard.com', 'name': 'Business Standard'}",[{'sid': 'ITC'}],5e88380a9e64525e9c18532e
3781,Hotels open doors in fight against Coronavirus,news-article,https://economictimes.indiatimes.com/industry/services/hotels-/-restaurants/hotels-open-doors-in-fight-against-virus/articleshow/74974062.cms,"The Federation of Hotel and Restaurant Associations of India (FHRAI) said members are extending support at the regional, state and city levels. About 45,000 hotel rooms across the country belonging to ITC, Indian Hotels Company (IHCL), The Lalit, Lemon Tree and others have been set aside for quarantining.",2020-04-04 10:01:23.834,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-74976634,width-1070,height-580,imgsize-283710,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}","[{'sid': 'IHTL'}, {'sid': 'ITC'}, {'sid': 'LEMO'}]",5e880d9b032d5c29aa479512
